"Metal1 - Activ
Area Capacitance",CAMET1ACT,aF/µm²,:blue:`49`,:blue:`59`,:blue:`69`,A.aq,A = 250·1200 µm²
"Metal1 - Substrate
Area Capacitance",CAMET1SUB,aF/µm²,:blue:`31`,:blue:`37`,:blue:`43`,A.aq,A = 250·1200 µm²
"Metal1 - Metal2
Area Capacitance",CAMET1/2,aF/µm²,:blue:`54`,:blue:`68`,:blue:`82`,A.aq,A = 250·1200 µm²
"Metal2 - Metal3
Area Capacitance",CAMET2/3,aF/µm²,:blue:`54`,:blue:`68`,:blue:`82`,A.aq,A = 250·1200 µm²
"Metal3 - Metal4
Area Capacitance",CAMET3/4,aF/µm²,:blue:`54`,:blue:`68`,:blue:`82`,A.aq,A = 250·1200 µm²
"Metal4 - Metal5
Area Capacitance",CAMET4/5,aF/µm²,:blue:`54`,:blue:`68`,:blue:`82`,A.aq,A = 250·1200 µm²
"TopMetal1 - Metal5
Area Capacitance",CATOPMET1,aF/µm²,:blue:`36`,:blue:`42.5`,:blue:`49`,A.aq,A = 250·1200 µm²
"TopMetal2 - TopMetal1
Area Capacitance",CATOPMET2,aF/µm²,:blue:`10`,:blue:`13`,:blue:`16`,A.aq,A = 250·1200 µm²
