"Threshold Voltage
Short Channel Device",VTNIHV10x045,V,:blue:`0.63`,:blue:`0.70`,:blue:`0.77`,A.a2,WxL = 10 x 0.45 µm²
"Saturation Current
Short Channel Device",IDSNIHV045,µA/µm,:blue:`480`,:blue:`560`,:blue:`640`,A.b2,WxL = 10 x 0.45 µm²
"Off-Current
Short Channel Device",IOFFNIHV045,"LOG10
(A/µm)",,:blue:`-12.5`,:blue:`-11.0`,A.c2,WxL = 10 x 0.45 µm²
"Drain Induced Barrier
Lowering 0.1/1.8V",DIBLNIHV045,mV/V,:blue:`0`,:blue:`15`,:blue:`30`,A.d2,WxL = 10 x 0.45 µm²
Sub Threshold Slope,SSNIHV045,mV/dec,:blue:`72`,:blue:`84`,:blue:`96`,A.e,WxL = 10 x 0.45 µm²
Breakdown Voltage,BVDSSNIHV045,V,:blue:`5.2`,:blue:`6.1`,,A.f2,WxL = 10 x 0.45 µm²
